variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution,temporal_agg_type,spatial_agg_type,min,max,file_size,file_name
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,0.5,mean,mean,293.15,302.53,0.02,2m_temperature_t1_s1_1733635806997_mean_mean.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,0.5,mean,min,292.43,302.31,0.02,2m_temperature_t1_s1_1733635806997_mean_min.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,0.5,mean,max,293.63,302.81,0.02,2m_temperature_t1_s1_1733635806997_mean_max.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,1.0,mean,mean,294.84,302.2,0.02,2m_temperature_t1_s2_1733635806997_mean_mean.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,1.0,mean,min,292.43,301.78,0.02,2m_temperature_t1_s2_1733635806997_mean_min.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,1.0,mean,max,296.8,302.81,0.02,2m_temperature_t1_s2_1733635806997_mean_max.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,0.5,min,mean,280.07,297.55,0.02,2m_temperature_t1_s1_1733635806997_min_mean.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,0.5,min,min,279.67,297.52,0.02,2m_temperature_t1_s1_1733635806997_min_min.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,0.5,min,max,280.28,297.63,0.02,2m_temperature_t1_s1_1733635806997_min_max.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,1.0,min,mean,282.22,297.47,0.02,2m_temperature_t1_s2_1733635806997_min_mean.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,1.0,min,min,279.67,297.33,0.02,2m_temperature_t1_s2_1733635806997_min_min.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,1.0,min,max,286.19,297.63,0.02,2m_temperature_t1_s2_1733635806997_min_max.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,0.5,max,mean,302.05,317.38,0.02,2m_temperature_t1_s1_1733635806997_max_mean.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,0.5,max,min,301.0,317.3,0.02,2m_temperature_t1_s1_1733635806997_max_min.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,0.5,max,max,302.54,317.54,0.02,2m_temperature_t1_s1_1733635806997_max_max.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,1.0,max,mean,302.49,316.74,0.02,2m_temperature_t1_s2_1733635806997_max_mean.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,1.0,max,min,301.0,315.39,0.02,2m_temperature_t1_s2_1733635806997_max_min.nc
2m_temperature,10,0,15,5,2020-01-01T00:00,2020-12-31T23:00,1YE,1.0,max,max,302.75,317.54,0.02,2m_temperature_t1_s2_1733635806997_max_max.nc
